Pet Name,Pet Birthday,Report AddedOn,Report EditOn,Report Temp,Report Reason,Report History,Report Examination,Report DiagnosticImaging,Report Lab,Report Diagnosis,Report Treatment,Report Plan,Report Prescription,Report Advice,Report Assessment,Report vitals,Report Note,Report Weight,Report WeightUnit,VisitExam ExaminationId,VisitExam ReportsId,VisitExam AddedOn,VisitExam Mentation,VisitExam Posture
puku,2025-11-11,2026-03-30T12:26:00.000,2026-03-30T12:27:17.977,,The patient presented with vomiting and loss of appetite since Friday. The animal has not been feeding during this period.,Vaccination status is up to date.,,,"Stool test
Tape worm seen

Snap test
No double line was observed in viral panel",,"Ringer lactate, Ceftapet inj, Pantopet inj , Glucovet inj & Normal saline",,,,,,"Cause of death:
Severe systemic shock and circulatory collapse, likely secondary to heavy parasitic (tapeworm) infestation, dehydration & metabolic imbalance.",,Kg,902.0,1386.0,2026-03-30T12:26:04.877,,
Leo,2025-10-30,2026-03-30T14:16:00.000,,,itching,"vomit during deworming
one shot of PHC Vaccine. No booster dose and Anti Rabies Vaccine",,,"rapid test
No  test line was observed on Virus Panel",Flea Allergy,"- Anti flea medication
-Anti itching medication",,,Anti rabies and Booster PHC Vaccine is advised,,,,,Kg,903.0,1387.0,2026-03-30T14:36:25.770,,
Kiyo,2023-03-31,2026-03-31T12:58:00.000,2026-03-31T13:00:54.230,103.2,Lethargic & anorexia since 4 days,,,,"Snap test

Double line was observed on feline panleukopenia panel",Feline panleukopenia,"Ringer lactate, Ceftapet inj & Pantopet inj",,,Regular supportive treatment,,,,4.2,Kg,904.0,1388.0,2026-03-31T12:59:21.373,,
Bonzo,2015-10-09,2026-03-31T13:02:00.000,2026-03-31T13:16:46.260,,Inappetance and lethargic,Vaccination gap since 2 years,,,Creatinine 2.72 mg/dl,Renal insufficiency,,,"Kidney well
10 ml twice a day per orally after or with meal for 30;days

Tricaine suspension
5 ml twice a day after meal for 30 days

Ezydoxin 100 mg tablet
Three tablet once a day per orally after meal for 10 days",Renal diet is advised,,,,,Kg,905.0,1389.0,2026-03-31T13:09:28.743,,
Bonzo,2015-10-09,2026-03-31T13:11:00.000,,,,,,,,,,,,,,,,,,,,,,
Jenny,2025-08-01,2026-04-01T08:15:00.000,,,Vomition and diarrhoea,Anti Rabies vaccination only,,,,Parvo viral gastroenteritis,"Normal saline, Ranivapet inj, Omitronpet inj & Conciplex inj",,,Follow up till sign resolves,,,,,Kg,906.0,1391.0,2026-04-01T08:18:51.773,,
Jenny,2025-08-01,2026-03-30T08:19:00.000,,,Vomition & Diarrhoea,only Anti Rabies Vaccination,,,,,,,,,,,Owner only accepted normal medication,,Kg,907.0,1392.0,2026-04-01T08:36:05.933,,
Dog,2024-03-27,2026-04-01T08:37:00.000,,,Home Visit was made for Home Vaccination,,,,,,Dhppil & Arv Vaccination,,,,,,2000/-,,Kg,908.0,1393.0,2026-04-01T08:38:32.107,,
Goldie,,2026-04-01T08:42:00.000,,,Home Visit was made for Vaccination,,,,,,,,,,,,,,Kg,909.0,1394.0,2026-04-01T08:43:01.940,,
Lucky,2021-08-27,2026-04-01T08:43:00.000,,,Home Visit was made for Vaccination,,,,,,,,,,,,,28.0,Kg,910.0,1395.0,2026-04-01T08:43:34.577,,
Jack,,2026-03-31T08:54:00.000,,,follow up and dressing,,,,,,,,,,,,,,Kg,911.0,1396.0,2026-04-01T08:55:11.200,,
Kitto,2025-04-01,2026-04-01T09:00:00.000,,,Limping and Right hind limb afffected,Mating was seen 1 month ago and suspected for pregnancy,,,,,Melox inj,,"Melowin tablet
one fourth tablet once a day in 48 hour interval for 4 times",,,,,,Kg,912.0,1397.0,2026-04-01T09:02:20.627,,
casper,2012-04-01,2026-03-30T09:04:00.000,2026-04-01T18:20:27.183,,wobbly walk,complete vaccination and deworming at external veterinary facility,,,,Suspected for IVDD,stercilin inj & Curadex inj for 2 days,,"Vendisc tablet
one tablet twice a day afer meal for 30 days

Prednisolone 10 mg tablet
one tablet twice a day per orally after meal for 5 days

Ezydoxin 100 mg tablet
Three tablet once a day per orally after meal for 10 days",,,,,,Kg,913.0,1398.0,2026-04-01T09:07:45.667,,
casper,2012-04-01,2026-03-31T09:08:00.000,,,,,,,,,,,,,,,,,,,,,,
MiMi,2025-03-17,2026-04-01T09:10:00.000,,,loose stool,Complete vaccination,,,"stool test
isospora seen",,,,"Dewoemer tablet
one tablet twice a day per orally at empty stomach once a time

Gut well powder
2 spoon twice a day per orally with food for 10 days",,,,,16.0,Kg,914.0,1400.0,2026-04-01T09:11:56.357,,
Coco,2026-01-25,2026-03-30T09:12:00.000,2026-04-01T09:13:26.813,,,,,,,,,,"Ventriliv pet tablet
one tablet twice a day per orally after meal for 10 days",,,,Recovered,,Kg,915.0,1401.0,2026-04-01T09:12:42.953,,
Motte,2026-02-07,2026-03-30T09:15:00.000,,,skin itching,,,,,,Tick bath and hair trimming,,"ALLERGIA TABLET
Half tablet once a day per orally after meal for 10 days

NT ticks soap
BATH ONCE

COXYBOL SPRAY
Apply on affected area twice a day cont",,,,,,Kg,916.0,1402.0,2026-04-01T09:18:21.367,,
Luka,2025-02-26,2026-03-30T09:20:00.000,,,Follow up,,,,,,Same medication continued,,"Metron DF tablet
one tablet twice a day per orally after meal for 5 days

Hepasupport tablet
one tablet twicw\e a day per orally after meal for 10 days",,,,,,Kg,917.0,1403.0,2026-04-01T09:21:35.073,,
JS,2014-04-01,2026-03-29T09:24:00.000,,,DEW CLAW INJURY,,,,,,Nail was cut and Vaccination was given (Dhppil & ARV),,,,,,,,Kg,918.0,1404.0,2026-04-01T09:24:55.017,,
Max,2019-11-06,2026-03-29T09:25:00.000,,,MEDICINE WAS DELIVERED TO HOME,,,,,,,,"Ezydoxin 100 mg tablet
one tablet once a day per orally after meal for 10 days

Pet o liv
5 ml twice a day per orally after meal for 10 days",,,,The liver tonic was not administered as it was difficult to feed and the owner was asked to collect it from home,10.0,Kg,919.0,1405.0,2026-04-01T09:28:49.523,,
Sora,,2026-03-29T09:29:00.000,,,follow up,,,,,,same medication was given and stitich of pinning on hind limb was removed as it was done on external vet facility,,,,,,,,Kg,920.0,1406.0,2026-04-01T09:30:03.447,,
Badal,2023-04-01,2026-04-01T14:30:00.000,2026-04-01T15:13:31.030,103.9,"Anorexia since 3 days
Lethargic",Presence of ticks,,,"Snap test
Double line is seen in  E canis panel",Ehrlichiosis,Stercilin inj & Curapet inj,,,"Continue Stercilin and Curapet Injection for 3 days. If the appetite remains normal, oral medication can be initiated after completion of the 3 day injectable treatment course.
It is recommended to perform further investigations, including CBC, LFT and KFT along with screening for Babesiosis and Anaplasmosis for a more comprehensive evaluation.",,,,14.0,Kg,921.0,1407.0,2026-04-01T14:31:06.387,,
Leo,2022-01-03,2026-04-02T15:06:00.000,2026-04-02T15:30:28.983,103.9,A home visit was conducted. Patient presented with anorexia and recumbency.,complete vacccination and deworming,,,,Renal Insufficiency,,,"Kidney well
10 ml twice a day per orally after meal for 10 days

Ezydoxin 100 mg tablet
Three tablet once a day per orally after meal for 10 days

Tircaine
10 ml twice a day per orally after meal for 10 days","In cases of anorexia or vomiting, fluid therapy (saline) is advised as oral feeding is difficult. Renal diet is recommended if feeding is normal",,,,35.0,Kg,922.0,1408.0,2026-04-02T15:29:35.473,,
Leo,2022-01-03,2026-04-02T15:29:00.000,,,,,,,,,,,,,,,,,,,,,,
Leo,2022-01-03,2026-04-02T15:30:00.000,,,,,,,,,,,,,,,,,,,,,,
LUFY,2023-08-29,2026-04-02T18:40:00.000,,103.1,Anorexia and Lethargic,"Complete Vaccination and Deworming.
2 years ago: E canis and Anaplasma positive",,,Blood Smear: Anaplasma seen in RBc,Anaplasmosis with Mild elevated Liver enzyme,,,"Ezydoxin 100 mg tablet
one tablet once a day per orally after meal for 10 days

Pet O liv
5 ml twice a day per orally after or with meal for 10 days",Use Anti flea and Anti tick medication after recovery,,,,,Kg,923.0,1411.0,2026-04-02T18:43:35.177,,
LUFY,2023-08-29,2026-04-02T18:43:00.000,,,,,,,,,,,,,,,,,,,,,,
Oreo,2021-10-03,2026-04-03T22:33:00.000,2026-04-03T22:37:20.503,103,Vomition with blood. Inappetance since 3 days,Complete vaccination and deworming at external vet facility. Presence of ticks,,"X ray
NAD","Snap test of blood parasite
Negative",Suspected for Hemorrhagic gastroenteritis,Omitronpet inj & Ranivapet inj,Plan for Hepasupport & ventab,,If the sign does not resolve then IV fluid should be initiated with CBC & Biochemistry,,,,6.0,Kg,924.0,1413.0,2026-04-03T22:37:01.130,,
Dambar,2018-04-05,2026-04-05T15:15:00.000,,,,,,,,,,,,,,,,,,,,,,
Rio,,2026-04-05T15:20:00.000,,103.7,Loose stool with blood and vomition,Complete vaccination at external vet facility,,,,,"Ringer lactate, Omitronpet inj & Ranivapet inj",,,,,,,,Kg,925.0,1415.0,2026-04-05T15:21:48.800,,
Rocky,2016-04-05,2026-04-05T16:56:00.000,2026-04-05T17:00:53.850,,Anorexia and hind limb paresis,Presence of ticks,,,"Snap test
Double line seen in E canis and Babesia panel",Ehrlichiosis and Babesiosis,,,,,,,,,Kg,926.0,1416.0,2026-04-05T16:58:11.310,,
Rocky,2016-04-05,2026-04-05T16:58:00.000,,,,,,,,,,,,,,,,,,,,,,
Papri,2016-04-05,2026-04-04T21:20:00.000,2026-04-05T21:26:00.713,,Vulva discharge,Presence of ticks,,"X ray
NAD","Snap test
Double line seen in E canis panel",Ehrlichiosis & Babesiosis,"Stercilin inj, Pantopet inj & Saline",,"Stercilin inj
1ml once a day IV for 4 days

Dexamethasone
1 ml once a day IM for 4 days

Pantaprazole 40 mg
40 mg IV Once a day for 4 days",Follow up was advised to continue for 4 days,,,,,Kg,927.0,1418.0,2026-04-05T21:25:37.693,,
Jacky,2018-04-04,2026-04-04T21:29:00.000,,,Tumour on chest region,,,,,,,,,Advised for biopsy,,,,32.0,Kg,928.0,1419.0,2026-04-05T21:32:09.913,,
dobermann,2021-10-18,2026-04-05T21:35:00.000,,,"A home visit was conducted to examine the left hind limb, as the dog was reported to be limping.",Complete vaccination & deworming,,,,"Provisional Diagnosis
Left hind limb lameness, most likely due to a mild sprain or soft tissue injury.",Melox inj,,"Melowin 2.5 mg tablet
Two tablet once a day per orally after meal for 5 days",,,,,25.0,Kg,929.0,1420.0,2026-04-05T21:38:44.200,,
Puku,2021-02-05,2026-04-05T21:40:00.000,,,Home visit was made to cut the stitches,Surgery was done due to dystocia at external vet facility,,,,,"Outer skin sutures were successfully removed.
Internal sutures were observed and left intact, as they are absorbable in nature and do not require removal.
Surgical site appears stable with no signs of dehiscence.",,"My skin lotion
Apply on affected area twice a day",,,,,,Kg,930.0,1421.0,2026-04-05T21:43:33.303,,
Gori,2025-08-12,2026-04-05T23:43:00.000,,,Spaying of gori and castration of jilke,Complete vaccination and deworming at home visit,,,,,"Intra-operative Findings:
Bleeding from the surgical stump was observed.
The right ovarian pedicle and uterine stump were properly ligated to control hemorrhage.
Pale (white) mucous membranes were noted during surgery, indicating possible blood loss or transient hypovolemia.",,,,,,"The patient recovered well from anesthesia.
	•	At home, the dog was able to drink water but experienced vomiting.
Post-operative vomiting may occur due to:
	•	Residual effects of anesthesia
	•	Gastric irritation from drugs used during surgery
	•	Stress response following the procedure
	•	Intake of water/food too soon after recovery
	•	Mild post-operative pain or systemic response",,Kg,931.0,1422.0,2026-04-05T23:48:08.343,,
Cat,2026-01-15,2026-04-04T23:48:00.000,,,,,,,,,,,,,,,PHC & Arv,,Kg,932.0,1423.0,2026-04-05T23:49:09.320,,
Scooby,,2026-04-02T23:52:00.000,,,Dhppil & Arv,,,,,,,,,,,,,12.0,Kg,933.0,1424.0,2026-04-05T23:52:32.873,,
Oreo,2021-05-21,2026-04-04T23:53:00.000,,,Spaying,,,,,,,,,,,,,4.6,Kg,934.0,1425.0,2026-04-05T23:53:58.727,,
Khaire,2025-12-06,2026-04-06T10:16:00.000,2026-04-06T10:22:26.160,100,"Loose motion, Vomition & Anorexia",Vaccination not done yet. Eaten rotten meat,,,"CDV Ag test
Double line was not observed. Only control line present","Provisional Diagnosis
Gastroenteritis","Normal & Ringer Lactate, Metvet inj, Omitronpet inj , Pantopet inj & Ceftapet inj",,,,,,"If vomiting and diarrhea persist, fluid therapy should be continued until the vomiting subsides and appetite returns. Supportive care, including electrolyte balance and monitoring of hydration status, should also be maintained during this period.",,Kg,935.0,1426.0,2026-04-06T10:21:56.380,,
Kaya,2026-02-20,2026-04-06T18:47:00.000,,,Vaccination,,,,,,Dhppil Vaccination,,"Ven gro
1 ml once a day. Cont

Pet o Liv
2.5 ml twice a day per orally with meal for 14 days",,,,,,Kg,936.0,1427.0,2026-04-06T18:48:51.893,,
Rio,,2026-04-06T18:49:00.000,,,Returned for follow-up medication after recovery.,,,,,,,,"Ventriliv pet
One tablet twice a day per orally after or with meal for 10 days

Gutwell
2 spoon twice a day per orally with meal for 10 days",,,,,,Kg,937.0,1428.0,2026-04-06T18:52:30.940,,
Ne,,2026-04-06T19:20:00.000,,,Anti rabies vaccination,,,,,,,,,,,,,,Kg,938.0,1429.0,2026-04-06T19:20:38.957,,
puku,2021-08-17,2026-04-07T18:06:00.000,,,Home visit for vaccination,,,,,,,,"Skin issue. Looks like fungal infection
Itraconazole 200 mg tablet
One tablet twice a day after Meal per orally for 14 days

Nutrovet tab
One tablet twice a day per orally after meal for 14 days

Extina cream
Apply on affected area twice a day",,,,,13.0,Kg,939.0,1430.0,2026-04-07T18:08:35.743,,
Rocky,2016-04-05,2026-04-07T18:15:00.000,,,,,,,,,"Diminazine acetuarate 0.7 ml IM
Stercilin inj 4.5 ml SC
OMITRON INJ 2 ml SC",,,,,,,,Kg,940.0,1431.0,2026-04-07T18:17:13.803,,
Rocky,2016-04-05,2026-04-06T18:17:00.000,2026-04-07T18:18:17.607,,,,,,,,"Stercilin inj 3 ml sc
Dexamethasone 1.5 ml SC",,,,,,,,Kg,941.0,1432.0,2026-04-07T18:17:56.327,,
Rocky,2016-04-05,2026-04-05T18:18:00.000,,,,,,,,,"Stercilin inj 3 ml sc
Dexamethasone 1.5 ml SC",,"Ferrimin
5 ml twice a day per orally after meal for 10 days",,,,,,Kg,942.0,1433.0,2026-04-07T18:19:04.303,,
Heaven,2016-04-08,2026-04-08T16:59:00.000,2026-04-09T17:42:55.530,102.5,"Inappetance, lethargic & Vomition",Presence of ticks,,,"Snap Test
Double line seen on e canis and Babesia panel",Babesiosis & Ehrlichiosis,Stercilin inj for 5 days & Diaminazene aceturate inj for 2 days (Half dose on each day),,"Rkleen
5 ml once a day per orally cont.

Doxycycline 100 mg capsule
0ne capsule once a day per orally after meal for 30 days (after 5 days of injectable medication)",,,,,9.0,Kg,943.0,1434.0,2026-04-08T17:01:29.243,,
Heaven,2016-04-08,2026-04-09T17:39:00.000,,,,,,,,,,,,,,,,,,,,,,
Bonzo,2015-10-09,2026-04-09T18:09:00.000,,,,,,,,,,,,,,,,,,,,,,
Bonzo,2015-10-09,2026-04-01T18:11:00.000,2026-04-09T18:16:40.500,,,,,,,,,,,,,,,,Kg,944.0,1437.0,2026-04-09T18:15:19.477,,
Coco,2026-01-25,2026-04-11T09:07:00.000,,,Vaccination of Dhppil & Arv,,,,,,,,,,,,,,Kg,945.0,1438.0,2026-04-11T09:07:52.540,,
ladu,2017-12-20,2026-04-11T09:12:00.000,,,Home visited for vaccination,,,,,,,,,,,,,6.0,Kg,946.0,1439.0,2026-04-11T09:12:53.727,,
Bonzo,2018-04-11,2026-04-11T09:18:00.000,,,Home visited for Dhppil & Arv,,,,,,,,,,,,,,Kg,947.0,1440.0,2026-04-11T09:18:58.077,,
Suru,2025-11-10,2026-04-11T09:24:00.000,,,,,,,"Snap test
Double line was seen In feline panleukopenia panel",Feline panleukopenia,"Parenteral medication( Ringer lactate)
Gastric protectant ( Raniva pet and Omitron pet inj)
Ceftapet inj",,,,,,Prognosis poor,3.8,Kg,948.0,1441.0,2026-04-11T09:24:19.993,,
Kitto,2025-04-01,2026-04-11T20:19:00.000,,,X ray,,,,,,,,,,,,,,Kg,949.0,1442.0,2026-04-12T20:20:14.707,,
Rio,2025-10-02,2026-04-12T20:22:00.000,2026-04-12T20:25:28.820,,Right hind limb lameness,Bandaging and x ray was done at external veterinary facility & Swelling occurs a day after,,,,,Robert John bandage was placed & Meloxicam inj was given,,"Absolute calcium tablet
One tablet once a day after meal for 5 days

Melowin 2.5 mg tablet
Half tablet once a day per orally after meal for 3 days",,,,,,Kg,950.0,1443.0,2026-04-12T20:25:06.960,,
Coco,2023-09-13,2026-04-11T20:27:00.000,,,Heavy respiration ( difficulty in respiration),Completed vaccination and deworming at an external veterinary facility. History of recent travel to a hotter region.,,"Radiographic findings
 Uneven trachea. Left costochondral angle is not clear.",,Stress related respiratory issue .,"Normal saline, Curapet inj & Cadistin inj",,,Follow up next day,,,,4.8,Kg,951.0,1444.0,2026-04-12T20:34:39.607,,
Coco,2023-09-13,2026-04-12T20:34:00.000,,,Follow up,,,,,,,,"Ven card tablet
Half tablet twice a day per orally after meal for 30 days",Continue monitoring respiratory pattern and panting at home. Avoid heat exposure and stressful conditions. keep the dog in a cool & well ventilated environment. Ensure adequate hydration. Restrict strenuous activity for a few days. If respiration difficulty re occurs then revisit immediately. Repeat thoracic radiograph or further evaluation (CBC & cardiac assessment) may be advised if clinical signs continue.,,,,4.8,Kg,952.0,1445.0,2026-04-12T20:39:19.390,,
Bruno,2017-10-11,2026-04-11T20:41:00.000,,,Home visit was made as the dog seems to be lameness,Complete vaccination & deworming,,,,Sprain,Melox inj & Cadistin inj,,"Glucomed tablet
One tablet twice a day per orally after meal for 14 days",,,,,35.0,Kg,953.0,1446.0,2026-04-12T20:42:59.660,,
Heaven,2016-04-08,2026-04-12T20:44:00.000,,,,,,,,,,,,,,,"A home visit was conducted over four consecutive days, during which Stercilin injection and Curapet injection were administered.",9.0,Kg,954.0,1447.0,2026-04-12T20:45:46.643,,
Heaven,2016-04-08,2026-04-12T20:46:00.000,,,,,,,,,,,"Summary of medication

Doxycycline 100 mg capsule
One capsule once a day after meal for 30 days

Absolute vitamin tab
One tablet once a day after meal for 30 days

Rkleen
5 ml once a day after meal for 30 days",,,,,9.0,Kg,955.0,1448.0,2026-04-12T20:47:47.103,,
Rico,2023-04-14,2026-04-14T11:48:00.000,,104,Anorexia since 3 days,No vomition & diarrhoea. Vaccination and deworming done at external vet facility,,"X ray
Right lateral & Left lateral
NAD","Stool test 
NAD","Suspected viral infection, as X-ray and stool examination revealed no significant abnormalities.",Fluid therapy with supportive treatment including gastric protectant & antibiotic inj,,,,,,Sedative was used to control cat for x ray,4.4,Kg,956.0,1449.0,2026-04-14T12:28:10.040,,
Tiger,2023-04-14,2026-04-14T13:44:00.000,2026-04-15T14:17:24.117,103,Anorexia since 3 days. Blood in stool,,,,"Snap test
Double line seen in Babesia panel

Stool test
Isospora seen",Babesiosis,"Ringer lactate saline IV
STERCILIN & RANIVAPET INJ SC
DIAMIAZINE INJ IM",,"Ezydoxin 100 mg tablet
Three and half tablet once a day after meal for 30 days

Nutrovet tablet
Two tablet twice a day per orally after meal for 14 days",,,,"Blood pressure
114/82",34.0,Kg,957.0,1450.0,2026-04-14T13:45:03.923,,
Puku,2025-12-14,2026-04-13T13:56:00.000,,,Booster vaccination,,,,,,,,,,,,,,Kg,958.0,1451.0,2026-04-14T13:56:35.390,,
Broon,2026-02-14,2026-04-14T18:55:00.000,2026-04-15T16:55:56.503,,Vomition,"One shot of Dhppil & Arv
Booster vaccination remaining",,,"Dhppil Snap test
Negative
Parvo snap test
Negative",Gastroenteritis,Iv infusion and supportive medication,,"Dux vit syrup
2.5 ml twice a day per orally after meal for 10 days

Gutcare
One spoon once a day per orally with meal cont.",,,,,1.4,Kg,959.0,1452.0,2026-04-15T13:06:13.737,,
Bella,2026-02-27,2026-04-08T14:06:00.000,,,Skin infection,,,,,,,,"Nt ticks powder
Use twice a week on affected area

My skin lotion
Apply on affected area twice a day

Ven gro
0.5 ml once a day",,,,,800.0,Gm,960.0,1453.0,2026-04-15T14:07:04.583,,
Bella,2026-02-27,2026-04-15T14:07:00.000,,,,,,,,,Hair trimming was done to expose the skin lesion so that medicine  can be applied.,,"Additional med
Keto tek shampoo
Use the shampoo after one to two hour use of Myskin lotion or coconut oil",,,,,800.0,Gm,961.0,1454.0,2026-04-15T14:08:48.317,,
Tiger,2023-04-14,2026-04-15T14:17:00.000,,,,,,,,,,,,,,,,,,,,,,
Rico,2023-04-14,2026-04-14T14:26:00.000,2026-04-15T14:30:17.733,101.7,Evening follow up on same day,Consumed one chunk of meat as reported by the pet parent.,,,"Felv & FIV SNAP TEST
NO DOUBLE LINE WAS OBSERVED",Pyrexia of unknown origin,"IV INFUSION RL, Pantopet inj, Omitronpet inj & Ceftapet inj",,,,,,,4.4,Kg,962.0,1456.0,2026-04-15T14:27:48.830,,
Bruno,2017-10-11,2026-04-14T14:34:00.000,,,Hind limb limping,,,,,,,,"Ven disc
One tablet twice a day per orally after meal cont.

Glucomed
One tablet twice a day per orally after meal

Melowin tablet
Three tablet on 14 April and then two tablet once a day per orally after meal for 10 days",,,,,35.0,Kg,963.0,1457.0,2026-04-15T14:36:37.097,,
Jojo,2026-03-02,2026-04-15T14:54:00.000,2026-04-15T15:06:44.633,,General check up,"Feeding 
Chicken boil bone less
Boiled egg white
Two time a day",,,"Stool test
Plenty amount of fat cell was observed",Nothing abnormality was detected,,,"Gut well
One spoon once a day per orally with food for 30 days

Ven gro
0.5 ml once a day per orally after meal",,,,"Albendazole suspension
0.3 ml twice a day per orally at empty stomach for 3 days",,Kg,964.0,1458.0,2026-04-15T14:57:15.473,,
coco,2025-03-27,2026-04-13T17:02:00.000,,,"Vaccination 
Dhppil & Arv
Vaccination at home",,,,,,,,,,,,,12.0,Kg,965.0,1459.0,2026-04-15T17:03:13.450,,
Kiyo,2024-08-06,2026-04-13T17:03:00.000,,,"Vaccination at home
Dhppil & Arv",,,,,,,,,,,,,3.3,Kg,966.0,1460.0,2026-04-15T17:04:11.423,,
Phucche,2025-10-15,2026-04-13T17:41:00.000,,,Home visit was made and found to be salivation and unable to stand,Complete vaccination and deworming at external veterinary facility,,,"CDV TEST KIT
NO DOUBLE LINE WAS OBSERVED",,"Ringer lactate, Curapet inj, Frusemide inj , Ceftriaxone inj & Pantopet inj
Each medication was given twice a day",,,,,,,,Kg,967.0,1461.0,2026-04-15T17:43:42.700,,
Cat,,2026-04-09T17:59:00.000,,,Wound,,,,,,"Sedative was given and wound dressing was made using lotion.

Radiate spot on was topically applied on shoulder blade",,"My skin lotion
Apply on affected area twice a day cont.

Ven gro drop
0.5 ml once a day per orally after meal Cont.",,,,,,Kg,968.0,1462.0,2026-04-15T18:00:49.543,,
Khaire,2022-01-27,2026-04-15T19:48:00.000,,,Left forelimb lameness,Scooter hit and run case,,"X ray
Left forelimb ulna crack",,,"Pet o cal
10 ml twice a day per orally after meal for 10 days",,,,,,"Advised for Meloxicam tablet
Owner refused",,Kg,969.0,1463.0,2026-04-15T19:49:45.320,,
Jacky,2018-04-04,2026-04-16T10:16:00.000,2026-04-16T10:25:40.237,,,,,,,,,,,,,,"Specimen Submitted on 5th April 2026
(Mass from lateral chest wall)

GROSS DESCRIPTION
 The mass is firm, grey and poorly demarcated. Cut surface is solid and fibrous. Areas of hemorrhage present.

MICROSCOPIC DESCRIPTION
Sections examined reveal a non encapsulated, infiltrative neoplasm composed of spindle shaped cells arranged in interlacing bundles and fascicles.
The neoplastic cells show
- Elongated nuclei with mild to moderate variation in size and shape
- Indistinct cell borders
- Moderate cytoplasm
The neoplasm is seen invading adjacent skeletal muscle tissue.
Foci of hemorrhage are present.

DIAGNOSIS
Malignant mesenchymal tumor consistent with Soft Tissue Sarcoma",32.0,Kg,970.0,1464.0,2026-04-16T10:22:57.337,,
Tiger,2021-07-21,2026-04-16T15:48:00.000,,,"Home visit was made to withdraw a blood, as the dog is not eating properly",,,,,,,,,,,,,,Kg,971.0,1465.0,2026-04-17T15:49:17.397,,
Tiger,2021-07-21,2026-04-17T15:52:00.000,,,,,,,,,,,,,,,,,,,,,,
Tiger,2021-07-21,2026-04-17T15:53:00.000,,,,,,,,,,,,,,,,,,,,,,
Susi,2026-02-17,2026-04-17T16:05:00.000,2026-04-17T16:06:38.280,,Fallen from sofa,First shot of vaccination done at external vet facility. Presence of flea,,,,,Analgesic inj,,"Nt ticks powder
Use the powder as directed by vet two times a week",Advised for x ray,,,,1.8,Kg,972.0,1468.0,2026-04-17T16:05:59.473,,
Kale,2025-12-17,2026-04-17T17:21:00.000,,,,,,,,,"Mattress suture was placed two in number
Ceftriaxone inj and Meloxicam inj was given",,"Amox Clav 375 mg tablet
One tablet twice a day per orally after meal for 10 days",,,,,7.2,Kg,973.0,1469.0,2026-04-17T17:22:09.713,,
Jenny,2025-12-17,2026-04-12T18:00:00.000,2026-04-17T18:05:03.977,,Right hind limb lameness,Bandaging and x ray was done at external veterinary facility & swelling occurs a day after,,,,,,,"Absolute calcium tablet
One tablet once a day per orally after meal for 5 days

Melowin 2.5 mg tablet
Half tablet once a day per orally after meal for 3 days",,,,,,Kg,974.0,1470.0,2026-04-17T18:03:42.083,,
Jacky,2018-04-04,2026-04-17T21:58:00.000,,,,,,,,,,,,,,,,,,,,,,
Tommy,2025-04-18,2026-04-18T16:27:00.000,,,Dhppil & Arv,,,,,,,,,,,,"Attained by Vet Tech Puja Thapa
Sold shampoo & 4 Deworming tablets",20.0,Kg,975.0,1472.0,2026-04-18T16:28:10.217,,
Skyler,2022-04-18,2026-04-18T18:53:00.000,2026-04-18T18:59:21.583,,"For x ray, as the dog is pregnant since 60 days as per pet parent
To check fetus status",Complete vaccination and deworming as per pet parent at external vet facility,,"X-ray Finding
Fetal skeletal structures appear disorganized and non aligned with separation of bony components noted.
Interpretation
Findings are suggestive of fetal skeletal disintegration & loss of normal fetal architecture which may indicate fetal death (intrauterine fetal demise).",,,,,,Immediate veterinary evaluation is recommended. Ultrasound may be performed to confirm absence of fetal heartbeat and assess uterine condition. Appropriate obstetrical management  should be considered and blood test is advised.,,,,,Kg,976.0,1473.0,2026-04-18T18:59:01.583,,
Kiki,2026-04-05,2026-04-19T12:01:00.000,,100,Loose stool,,,,"Stool test
Plenty amount of fat droplets",,,,"Gut well 
One eighth spoon with every meal",,,,,,Kg,978.0,1475.0,2026-04-19T12:02:09.343,,
Kiki,2026-04-05,2026-04-19T17:52:00.000,,,Follow up on same day as kitten did not eat,,,,,,,,,"Give ringer lalctate along with milk powder and gut well with rice water.
Apply my skin lotion on affected area twice a day",,,,,Kg,979.0,1476.0,2026-04-19T17:53:31.380,,
Jacky,2014-12-08,2026-04-19T17:58:00.000,2026-04-19T18:00:37.017,103.2,Inappetance & lethargic,Complete vaccination and deworming,,,,,Meloxicam inj & Cadistin inj,,"Melowin 2.5 mg tablet
Half tablet once a day per orally after meal for 6 days",Blood test is advised,,,,6.0,Kg,980.0,1477.0,2026-04-19T17:59:25.700,,
prince,2019-07-25,2026-04-19T18:01:00.000,,,Hair trimming and x ray,,,,,,,,,,,,,13.0,Kg,981.0,1478.0,2026-04-19T18:01:29.223,,
prince,2019-07-25,2026-04-19T18:03:00.000,2026-04-19T18:04:21.187,,Cough,Complete vaccination & deworming,,,,,,,"Prednisolone 10 mg tablet
One tablet once a day per orally after meal for 10 days

Amox Clav 375 mg tablet
One tablet twice a day per orally after meal for 10 days

Pet kuff
5 ml twice a day per orally after meal for 10 days",,,,,13.0,Kg,982.0,1479.0,2026-04-19T18:03:57.633,,
